iter	RMSE
840	0.6001272517
841	0.5991962044
842	0.5983661081
843	0.5972063558
844	0.5964070528
845	0.5957881246
846	0.5956990948
847	0.5949293505
848	0.5937309129
849	0.5931671052
850	0.5930834502
851	0.5924896444
852	0.5923340241
853	0.5908167492
854	0.5890318304
855	0.5878161338
856	0.5868169886
857	0.5861132981
858	0.5848158851
859	0.5840773859
860	0.5826259485
861	0.5817413821
862	0.5807920707
863	0.5797726233
864	0.5792641588
865	0.5787128333
866	0.5780877083
867	0.5779668941
868	0.5775151337
869	0.5758762152
870	0.5754869836
871	0.5743338013
872	0.5731108429
873	0.571992045
874	0.5718774855
875	0.5710646972
876	0.5710038845
877	0.5702319702
878	0.5693777067
879	0.5681568529
880	0.5665129495
881	0.5655373779
882	0.565302553
883	0.5652215131
884	0.5638608047
885	0.5629387065
886	0.5617927856
887	0.5615684742
888	0.5604796545
889	0.560334945
890	0.5597862846
891	0.5597354034
892	0.5590809288
893	0.558747087
894	0.5579792192
895	0.5569578799
896	0.5568394262
897	0.5557706635
898	0.5556317774
899	0.5540608416
900	0.5538892464
901	0.5530327384
902	0.5517676325
903	0.5512324894
904	0.5507169226
905	0.5503173833
906	0.550232423
907	0.5501289512
908	0.5495826052
909	0.5489766789
910	0.5488396641
911	0.5478814646
912	0.5470889
913	0.5464051179
914	0.5462819412
915	0.5454140505
916	0.544922611
917	0.5442341694
918	0.543353796
919	0.5421096121
920	0.5420737728
921	0.5420319181
922	0.5419233275
923	0.5418643656
924	0.5411321979
925	0.5401006166
926	0.5394990987
927	0.5389511004
928	0.5375337515
929	0.5374026505
930	0.5366066712
931	0.5364933383
932	0.5363970627
933	0.5353310514
934	0.5344700367
935	0.5338145943
936	0.5331575919
937	0.5323540328
938	0.5322744697
939	0.5313526221
940	0.5303747234
941	0.529991527
942	0.5295230971
943	0.5286846173
944	0.5278533315
945	0.5271110791
946	0.5270441693
947	0.5263150415
948	0.5254536037
949	0.524840375
950	0.5237292378
951	0.5227440848
952	0.52263683
953	0.5215896912
954	0.5207628653
955	0.5193283746
956	0.5182280469
957	0.5179021944
958	0.5166615476
959	0.515252185
960	0.5146190019
961	0.5144338595
962	0.514385041
963	0.5137096394
964	0.512865187
965	0.5119625678
966	0.5112686241
967	0.5098768937
968	0.508949037
969	0.5081394189
970	0.5079506313
971	0.5067184114
972	0.5061670857
973	0.5046182174
974	0.5044021632
975	0.5035617793
976	0.5027999458
977	0.5024483517
978	0.5011014711
979	0.500254802
980	0.499318776
981	0.4982996893
982	0.4975245365
983	0.4965027653
984	0.4964026822
985	0.4961988937
986	0.4960506839
987	0.4960090251
988	0.4950475923
989	0.4950100153
990	0.4944506559
991	0.4939590785
992	0.4933231168
993	0.492749352
994	0.4922069384
995	0.4908357052
996	0.4895358061
997	0.488598157
998	0.4876018875
999	0.4874929864
